Date,Open,High,Low,Close,Adj Close,Volume
2020-12-14,4.010000,4.010000,3.000000,3.190000,3.190000,67158976
2020-12-15,3.240000,3.240000,2.760000,2.860000,2.860000,54432125
2020-12-16,2.870000,2.890000,2.720000,2.780000,2.780000,25423239
2020-12-17,2.800000,2.950000,2.740000,2.850000,2.850000,23799298
2020-12-18,2.850000,2.850000,2.760000,2.800000,2.800000,21941652
2020-12-21,2.610000,2.740000,2.580000,2.680000,2.680000,22699798
2020-12-22,2.730000,2.750000,2.520000,2.590000,2.590000,21686612
2020-12-23,2.580000,2.650000,2.540000,2.560000,2.560000,15724765
2020-12-24,2.590000,2.600000,2.480000,2.510000,2.510000,11094189
2020-12-28,2.630000,2.630000,2.360000,2.390000,2.390000,23942699
2020-12-29,2.440000,2.460000,2.280000,2.290000,2.290000,21086148
2020-12-30,2.300000,2.300000,2.130000,2.160000,2.160000,40278438
2020-12-31,2.170000,2.220000,2.080000,2.120000,2.120000,28234251
2021-01-04,2.200000,2.200000,2.000000,2.010000,2.010000,29873796
2021-01-05,1.990000,2.030000,1.910000,1.980000,1.980000,28148314
2021-01-06,2.030000,2.230000,1.970000,2.010000,2.010000,67363337
2021-01-07,2.080000,2.110000,2.020000,2.050000,2.050000,26150489
2021-01-08,2.090000,2.211000,2.070000,2.140000,2.140000,39553343
2021-01-11,2.160000,2.270000,2.150000,2.200000,2.200000,41695836
2021-01-12,2.240000,2.390000,2.235000,2.290000,2.290000,41784333
2021-01-13,2.330000,2.380000,2.130000,2.180000,2.180000,45847659
2021-01-14,2.220000,2.320000,2.130000,2.180000,2.180000,49638794
2021-01-15,2.200000,2.550000,2.180000,2.330000,2.330000,162356375
2021-01-19,2.800000,3.200000,2.570000,3.060000,3.060000,256276010
2021-01-20,3.290000,3.340000,2.750000,2.970000,2.970000,181862210
2021-01-21,3.000000,3.060000,2.850000,2.980000,2.980000,64823844
2021-01-22,2.910000,3.740000,2.810000,3.510000,3.510000,268273367
