date,status,value
2021-04-10T18:15Z,200,7839
2021-04-10T18:15Z,304,3300
2021-04-10T18:15Z,404,1634
2021-04-10T18:15Z,302,208
2021-04-10T18:30Z,200,8707
2021-04-10T18:30Z,304,2648
2021-04-10T18:30Z,404,2473
2021-04-10T18:30Z,499,343
2021-04-10T18:45Z,200,7288
2021-04-10T18:45Z,304,2770
2021-04-10T18:45Z,404,1898
2021-04-10T18:45Z,302,276
2021-04-10T19:00Z,200,7149
2021-04-10T19:00Z,304,2885
2021-04-10T19:00Z,404,1209
2021-04-10T19:15Z,200,8644
2021-04-10T19:15Z,304,3323
2021-04-10T19:15Z,404,960
2021-04-10T19:30Z,200,7241
2021-04-10T19:30Z,304,3707
2021-04-10T19:30Z,404,1061
2021-04-10T19:45Z,200,9094
2021-04-10T19:45Z,304,3085
2021-04-10T19:45Z,404,1308
2021-04-10T20:00Z,200,6710
2021-04-10T20:00Z,304,2828
2021-04-10T20:00Z,404,577
2021-04-10T20:00Z,302,501
2021-04-10T20:15Z,200,7892
2021-04-10T20:15Z,304,3427
2021-04-10T20:15Z,404,1593
2021-04-10T20:15Z,500,334
2021-04-10T20:30Z,200,8767
2021-04-10T20:30Z,304,3023
2021-04-10T20:30Z,404,1707
2021-04-10T20:30Z,499,524
2021-04-10T20:45Z,200,7150
2021-04-10T20:45Z,304,3048
2021-04-10T20:45Z,404,1692
2021-04-10T21:00Z,200,6883
2021-04-10T21:00Z,304,4010
2021-04-10T21:00Z,404,1661
2021-04-10T21:15Z,200,8932
2021-04-10T21:15Z,304,4259
2021-04-10T21:15Z,404,499
2021-04-10T21:15Z,302,839
2021-04-10T21:30Z,200,7373
2021-04-10T21:30Z,304,4373
2021-04-10T21:30Z,404,947
2021-04-10T21:45Z,200,7028
2021-04-10T21:45Z,304,4234
2021-04-10T21:45Z,404,993
2021-04-10T21:45Z,302,375
2021-04-10T22:00Z,200,7302
2021-04-10T22:00Z,304,3786
2021-04-10T22:00Z,404,1177
2021-04-10T22:00Z,302,33
2021-04-10T22:15Z,200,6630
2021-04-10T22:15Z,304,4421
