Date,Tesla,Pfizer,Moderna,Apple,Johnson & Johnson,Nasdaq,Bitcoin-USD,¯rsted,Goldman Sachs,Archer-Daniels-Midland,CVS Health
9/3/19,225.009995,36.119999,14.88,205.699997,128.740005,7874.160156,9757.970703,653.400024,198.970001,37.990002,60.689999
9/4/19,220.679993,35.830002,15.42,209.190002,128.860001,7976.879883,10346.76074,660,201.729996,38.240002,61.66
9/5/19,229.580002,36.34,15.53,213.279999,128.580002,8116.830078,10623.54004,668.799988,207.050003,38.630001,62.759998
9/6/19,227.449997,36.5,15.88,213.259995,128.210007,8103.069824,10594.49316,670.200012,207.210007,38.709999,62.23
9/9/19,231.789993,36.830002,16.030001,214.169998,126.949997,8087.439941,10575.5332,680.599976,211.979996,39.669998,63.68
9/10/19,235.539993,37.380001,17.09,216.699997,129.550003,8084.160156,10353.30273,651,215.630005,40.290001,63.599998
9/11/19,247.100006,37.41,15.92,223.589996,131.169998,8169.680176,10517.25488,645.599976,216.800003,41.049999,63.990002
9/12/19,245.869995,37.279999,16.4,223.085007,130.429993,8194.469727,10441.27637,650,218.740005,41.450001,63.900002
9/13/19,245.199997,36.91,16.709999,218.75,130.779999,8176.709961,10334.97461,656.200012,219.899994,41.630001,64.059998
9/16/19,242.809998,36.830002,17.049999,219.899994,129.539993,8153.540039,10115.97559,646.599976,217.220001,41.959999,63.43
9/17/19,244.789993,36.5,17.66,220.699997,129.669998,8186.02002,10178.37207,643.400024,215.910004,41.790001,63.48
9/18/19,243.490005,36.380001,17.780001,222.770004,130.410004,8177.390137,10410.12695,650,217.080002,41.669998,63.259998
9/19/19,246.600006,36.509998,17.9,220.960007,130.110001,8182.879883,10360.54688,627.599976,215.229996,40.900002,63.630001
9/20/19,240.619995,36.689999,18.07,217.729996,131.649994,8117.669922,10358.04883,631,213.740005,40.900002,64.300003
9/23/19,241.229996,36.240002,17.83,218.720001,131.740005,8112.459961,10347.71289,622.200012,213.460007,40.400002,63.349998
9/24/19,223.210007,36.009998,17.82,217.679993,131.550003,7993.629883,10276.79395,630,207.75,39.93,62.93
9/25/19,228.699997,35.900002,17.18,221.029999,130.990005,8077.379883,10241.27246,637.799988,210.029999,40.48,62.59
9/26/19,242.559998,35.779999,16.34,219.889999,128.850006,8030.660156,10198.24805,627.599976,208.220001,40.860001,61.59
9/27/19,242.130005,36.220001,15.9,218.820007,128.600006,7939.629883,10266.41504,635,208.970001,40.939999,62.080002
9/30/19,240.869995,35.93,15.92,223.970001,129.380005,7999.339844,10181.6416,636.799988,207.229996,41.07,63.07
10/1/19,244.690002,35.43,14.81,224.589996,129.990005,7908.680176,10019.7168,636.599976,202.690002,40.330002,62.349998
10/2/19,243.130005,34.700001,14.86,218.960007,132,7785.25,10070.39258,627.400024,198.25,39.720001,61.5
10/3/19,233.029999,35.450001,15.07,220.820007,131.190002,7872.259766,9729.324219,617.200012,197.240005,39.529999,61.220001
10/4/19,231.429993,35.93,15.51,227.009995,133.660004,7982.470215,8620.566406,617.599976,200.800003,40.349998,62.240002
10/7/19,237.720001,35.830002,15.47,227.059998,133.160004,7956.290039,8486.993164,628.599976,200.399994,39.779999,61.990002
10/8/19,240.050003,35.43,15.31,224.399994,131.839996,7823.779785,8118.967773,626.400024,197.369995,38.400002,60.380001
10/9/19,244.529999,35.689999,14.2,227.029999,129.220001,7903.740234,8251.845703,622.200012,196.850006,38.93,60.799999
10/10/19,244.740005,35.790001,14.16,230.089996,129.059998,7950.779785,8245.915039,627,199.869995,39.77,62.139999
10/11/19,247.889999,36.110001,14.055,236.210007,131.330002,8057.040039,8104.185547,620,204.679993,40.459999,62.939999
10/14/19,256.959991,36.299999,13.93,235.869995,130.720001,8048.649902,8293.868164,623.599976,205.820007,40.200001,62.990002
10/15/19,257.890015,36.5,14.33,235.320007,132.839996,8148.709961,8343.276367,628.400024,206.460007,40.330002,64.830002
10/16/19,259.75,36.34,14.15,234.369995,135.169998,8124.180176,8393.041992,630.599976,207.419998,39.700001,65.410004
10/17/19,261.970001,36.459999,14.54,235.279999,136.169998,8156.850098,8259.992188,629.599976,206.460007,39.849998,66.5
10/18/19,256.950012,36.459999,14.81,236.410004,127.699997,8089.540039,8205.939453,624.599976,206.520004,39.639999,66.160004
10/21/19,253.5,36.459999,15.5,240.509995,128.020004,8162.990234,8151.500488,622.799988,209.25,40.400002,65.699997
10/22/19,255.580002,36.43,15.92,239.960007,129.199997,8104.299805,7988.155762,622.799988,209.600006,40.560001,66.559998
10/23/19,254.679993,36.77,16.9,243.179993,129.899994,8119.790039,8245.623047,628.200012,211.320007,40.73,65.599998
10/24/19,299.679993,36.389999,16.59,243.580002,127.5,8185.799805,8228.783203,629.400024,211.050003,40.540001,64.839996
10/25/19,328.130005,36.77,17.01,246.580002,128.350006,8243.120117,8595.740234,624.200012,214.229996,41.009998,65.099998
10/28/19,327.709991,37.279999,17.030001,249.050003,129.179993,8325.990234,8586.473633,630,217.75,41.299999,65.879997
10/29/19,316.220001,38.209999,16.99,243.289993,129.124405,8276.849609,8321.756836,623.400024,217.639999,41.509998,65.889999
10/30/19,315.01001,38.48,17.139999,243.259995,132.839996,8303.980469,8336.555664,577,215.809998,40.529999,67.050003
10/31/19,314.920013,38.369999,16.75,248.759995,132.039993,8292.360352,8321.005859,593,213.380005,42.040001,66.389999
11/1/19,313.309998,38.389999,15.66,255.820007,131.199997,8386.400391,8374.686523,587.599976,217.389999,42.43,67.239998
11/4/19,317.470001,38.029999,16.799999,257.5,130.229996,8433.200195,8205.369141,587.200012,219.869995,43.060001,68.040001
11/5/19,317.220001,37.48,16.889999,257.130005,130.419998,8434.679688,8047.526855,584.200012,218.639999,42.970001,67.32
11/6/19,326.579987,37.610001,16.129999,257.23999,130.960007,8410.629883,8103.911133,568.400024,218.419998,42.880001,70.93
11/7/19,335.540009,36.91,17.5,259.429993,131.429993,8434.519531,7973.20752,577.200012,223.289993,43.540001,71.779999
11/8/19,337.140015,37.049999,17.49,260.140015,133,8475.30957,7988.560547,576.799988,222.910004,43.310001,72.470001
11/11/19,345.089996,36.93,17.4,262.200012,131.979996,8464.280273,8222.078125,595,219.029999,43.529999,71.730003
11/12/19,349.929993,36.970001,17.99,261.959991,131.350006,8486.089844,8243.720703,605.200012,220.410004,43.240002,72.349998
11/13/19,346.109985,36.599998,18.25,264.470001,131.270004,8482.099609,8078.203125,608.200012,219.320007,42.82,72.82
11/14/19,349.350006,36.549999,18.34,262.640015,130.960007,8479.019531,7514.671875,612.200012,219.429993,42.779999,72.940002
11/15/19,352.170013,37.279999,19.370001,265.76001,134.940002,8540.830078,7493.48877,605,220.25,42.869999,74.290001
11/18/19,349.98999,37.220001,19.450001,267.100006,134.830002,8549.94043,8660.700195,605.599976,219.729996,42.84,75.099998
11/19/19,359.519989,37.66,19.360001,266.290009,134.820007,8570.660156,9244.972656,612,220.039993,43.080002,75.349998
11/20/19,352.220001,37.049999,20.18,263.190002,135.940002,8526.730469,9551.714844,610.599976,217.910004,42.5,74.919998
11/21/19,354.829987,37.740002,20.200001,262.01001,136.440002,8506.209961,9256.148438,615,218.229996,42.82,74.940002
11/22/19,333.040009,38.330002,20.690001,261.779999,138.070007,8519.879883,9427.6875,610,220.279999,42.720001,75.309998
11/25/19,336.339996,38.68,20,266.369995,137.179993,8632.490234,9205.726563,608.200012,222.75,43.080002,76.580002
11/26/19,328.920013,38.290001,20.33,264.290009,137.169998,8647.929688,9199.584961,616.400024,222.449997,42.75,74.940002
11/27/19,331.290009,38.630001,20.370001,267.839996,137.75,8705.179688,9261.104492,620.400024,222.949997,42.939999,75.040001
11/29/19,329.940002,38.52,20.360001,267.25,137.490005,8665.469727,9324.717773,621.799988,221.350006,42.93,75.269997
12/2/19,334.869995,38.290001,19.76,264.160004,137.360001,8567.990234,9235.354492,623.599976,217.639999,43.290001,75.550003
12/3/19,336.200012,38.049999,21.280001,259.450012,137.160004,8520.639648,9412.612305,625,212.240005,42.919998,74.709999
12/4/19,333.029999,38.139999,21.27,261.73999,139.380005,8566.669922,9342.527344,612.400024,215.940002,42.93,75
12/5/19,330.369995,38.029999,20.639999,265.579987,139.559998,8570.700195,9360.879883,613.799988,217.139999,43.150002,74.480003
12/6/19,335.890015,38.290001,18.940001,270.709991,140.380005,8656.530273,9267.561523,621.400024,224.610001,43.91,75.360001
12/9/19,339.529999,38.32,18.780001,266.920013,140.5,8621.830078,8804.880859,625,221.809998,44.07,74.989998
12/10/19,348.839996,38.48,18.870001,268.480011,139.990005,8616.179688,8813.582031,625.200012,221.880005,44,73.18
12/11/19,352.700012,38.220001,18.65,270.769989,140.979996,8654.049805,9055.526367,630.200012,221.190002,44.23,73.349998
12/12/19,359.679993,38.540001,18.450001,271.459991,141.339996,8717.320313,8757.788086,643.599976,226.050003,44.91,74.260002
12/13/19,358.390015,38.330002,18.620001,275.149994,141.380005,8734.879883,8815.662109,654.400024,225,45.200001,73.589996
12/16/19,381.5,39.139999,18.52,279.859985,141.789993,8814.230469,8808.262695,648.799988,228.039993,45.98,74.400002
12/17/19,378.98999,38.900002,18.440001,280.410004,143.559998,8823.360352,8708.094727,653.799988,231.149994,46.209999,73.349998
12/18/19,393.149994,38.889999,18.639999,279.73999,143.190002,8827.740234,8491.992188,664,230.449997,45.310001,73.279999
12/19/19,404.040009,38.970001,19.41,280.019989,145.350006,8887.219727,8550.760742,666,229.940002,45.639999,74.099998
12/20/19,405.589996,39.23,19.83,279.440002,146.059998,8924.959961,8577.975586,669.400024,228.929993,45.790001,74.580002
12/23/19,419.220001,39.32,19.700001,284,146.440002,8945.650391,8309.286133,665.799988,229.089996,46.02,74.379997
12/24/19,425.25,39.290001,19.75,284.269989,145.929993,8952.879883,8206.145508,674.799988,229.910004,46.080002,74.510002
12/26/19,430.940002,39.380001,19.860001,289.910004,145.830002,9022.389648,8027.268066,679.200012,231.210007,46.200001,74.480003
12/27/19,430.380005,39.32,19.52,289.799988,145.75,9006.620117,7642.75,691,230.660004,46.299999,74.400002
12/30/19,414.700012,38.91,19.049999,291.519989,145.300003,8945.990234,7296.577637,689,229.800003,46.119999,73.699997
12/31/19,418.329987,39.18,19.559999,293.649994,145.869995,8972.599609,7397.796875,681,229.929993,46.349998,74.290001
1/2/20,430.26001,39.139999,19.23,300.350006,145.970001,9092.19043,7047.916992,677.400024,234.320007,46.110001,74.160004
1/3/20,443.01001,38.93,18.889999,297.429993,144.279999,9020.769531,7146.133789,670.200012,231.580002,46.02,73.57
1/6/20,451.540009,38.880001,18.129999,299.799988,144.100006,9071.469727,7218.371094,662,233.949997,45.66,73.860001
1/7/20,469.059998,38.75,17.780001,298.390015,144.979996,9068.580078,7531.663574,645,235.490005,45.110001,73.580002
1/8/20,492.140015,39.060001,17.98,303.190002,144.960007,9129.240234,7463.105957,645.799988,237.759995,44.610001,72.660004
1/9/20,481.339996,38.889999,18.4,309.630005,145.389999,9203.429688,7761.243652,652.799988,242.600006,44.150002,72.860001
1/10/20,478.149994,39.490002,19.139999,310.329987,145.059998,9178.860352,7569.629883,659.599976,242.110001,43.950001,72.110001
1/13/20,524.859985,39.41,20.26,316.959991,145.699997,9273.929688,7424.29248,664.599976,245.210007,44.419998,72.760002
1/14/20,537.919983,40.07,20,312.679993,146.520004,9251.330078,7321.988281,684.599976,245.660004,44.5,73.830002
1/15/20,518.5,40.669998,20.24,311.339996,147.009995,9258.700195,7320.145508,686,245.210007,44.389999,75.269997
1/16/20,513.48999,40.610001,21.01,315.23999,148.199997,9357.129883,7252.034668,695.400024,249.720001,45.34,76.050003
1/17/20,510.5,40.509998,20.620001,318.730011,149.169998,9388.94043,7448.307617,706.400024,249.460007,45.25,76.019997
1/21/20,547.200012,40.34,20.940001,316.570007,149.270004,9370.80957,7546.996582,700.400024,245.699997,45.119999,74.589996
1/22/20,569.559998,40.189999,21.969999,317.700012,148.25,9383.769531,7556.237793,716.400024,247.050003,44.93,74.010002
1/23/20,572.200012,40.709999,21.469999,319.230011,148.529999,9402.480469,7564.345215,729.400024,245.580002,44.970001,73.529999
1/24/20,564.820007,39.82,21.120001,318.309998,148.320007,9314.910156,7400.899414,749.599976,241.919998,44.299999,71.43
1/27/20,558.02002,40.16,22.74,308.950012,148.75,9139.30957,7278.119629,737,238.139999,43.529999,70.970001
1/28/20,566.900024,38.139999,22.360001,317.690002,149.5,9269.679688,7217.427246,743,242.580002,43.919998,71.82
1/29/20,580.98999,37.580002,20.549999,324.339996,150.539993,9275.160156,7243.134277,748,240.119995,43.68,70.550003
1/30/20,640.809998,37.07,20.99,323.869995,150.360001,9298.929688,7269.68457,727.400024,244.130005,45.799999,69.709999
1/31/20,650.570007,37.240002,20.51,309.51001,148.869995,9150.94043,7124.673828,736,237.75,44.759998,67.82
2/3/20,780,37.509998,20.379999,308.660004,150.169998,9273.400391,7152.301758,736.200012,239.009995,44.959999,66.93
2/4/20,887.059998,37.689999,20.870001,318.850006,151.600006,9467.969727,6932.480469,719,241.940002,45.369999,67.879997
2/5/20,734.700012,38.169998,20.049999,321.450012,153.990005,9508.679688,6640.515137,715,244.300003,46.07,70.540001
2/6/20,748.960022,38.259998,19.879999,325.209991,153.529999,9572.150391,7276.802734,716.599976,241.820007,45.98,70.839996
2/7/20,748.070007,38.049999,23.24,320.029999,151.889999,9520.509766,7202.844238,726,238,45.709999,71.559998
2/10/20,771.280029,37.810001,23.65,321.549988,151.860001,9628.389648,7218.816406,729.200012,237.360001,45.68,73.25
2/11/20,774.380005,38.09,21.35,319.609985,151.990005,9638.94043,7191.158691,735,236.460007,46.119999,73.849998
2/12/20,767.289978,37.740002,19.01,327.200012,151.089996,9725.959961,7511.588867,725.200012,238.649994,45.610001,73.75
2/13/20,804,36.93,19.045,324.869995,150.089996,9711.969727,7355.628418,727.599976,238.350006,45.27,72
2/14/20,800.030029,36.509998,19,324.950012,150.130005,9731.179688,7322.532227,743,237.080002,44.77,71.370003
2/18/20,171.679993,34.40596,18.91,79.75,149.139999,9732.740234,7275.155762,743.400024,233.210007,44.450001,72
2/19/20,183.483994,34.320705,18.92,80.904999,148.940002,9817.179688,7238.966797,764.200012,237.330002,43.970001,71.779999
2/20/20,179.882004,33.960732,18.540001,80.074997,148.369995,9750.969727,7290.088379,771.200012,232.729996,44.23,71.940002
2/21/20,180.199997,33.837582,18.23,78.262497,149.929993,9576.589844,7317.990234,761,230.619995,43.900002,71.510002
2/24/20,166.757996,32.842915,18.59,74.544998,145.910004,9221.280273,7422.652832,769.799988,224.539993,42.82,67.919998
2/25/20,159.981995,32.141914,23.76,72.019997,144.649994,8965.610352,7292.995117,735.599976,217.610001,40.43,64.330002
2/26/20,155.759995,32.890282,29.16,73.162498,143.679993,8980.780273,7193.599121,719.599976,215.779999,39.869999,62.650002
2/27/20,135.800003,32.302956,26.16,68.379997,139.119995,8566.480469,7200.174316,732,205.690002,37.619999,59.330002
2/28/20,133.598007,31.658789,25.93,68.339996,134.479996,8567.370117,6985.470215,709.799988,200.770004,37.650002,59.18
3/2/20,148.723999,33.041847,29.879999,74.702499,140.020004,8952.169922,7344.884277,695.400024,209.470001,38.84,64.029999
3/3/20,149.102005,32.492413,27.91,72.330002,135.589996,8684.089844,7410.656738,709,203.429993,38.060001,62.540001
3/4/20,149.899994,34.481747,27.49,75.684998,143.479996,9018.089844,7411.317383,718,208.740005,39.369999,66.040001
3/5/20,144.908005,33.591282,28.01,73.230003,142.009995,8738.589844,7769.219238,757.400024,198.789993,38.330002,64.360001
3/6/20,140.695999,33.174473,29.610001,72.2575,142.029999,8575.620117,8163.692383,755.200012,192.850006,37.639999,64.150002
3/9/20,121.599998,31.980871,24.290001,66.542503,136.440002,7950.680176,8079.862793,715.200012,172.809998,35.299999,61.299999
3/10/20,129.065994,32.767132,22.34,71.334999,141.639999,8344.25,7879.071289,682,184.350006,37.119999,62.599998
3/11/20,126.846001,30.474663,23.610001,68.857498,131.800003,7952.049805,8166.554199,652.599976,171.889999,35.07,61.310001
3/12/20,112.110001,28.437967,22.299999,62.057499,125.410004,7201.799805,8037.537598,632.599976,150.679993,31.540001,54.599998
3/13/20,109.323997,30.986206,21.299999,69.4925,134.289993,7874.879883,8192.494141,575.799988,177.169998,34.639999,59.639999
3/16/20,89.014,28.589535,26.49,60.552502,127.129997,6904.589844,8144.194336,592,154.660004,32.68,52.299999
3/17/20,86.040001,30.465191,28.18,63.215,136.589996,7334.779785,8827.764648,579.599976,158.669998,35.259998,58
3/18/20,72.244003,30.654652,31.58,61.6675,134.960007,6989.839844,8807.010742,619.200012,140.020004,33.02,57.18
3/19/20,85.528,28.816887,28.27,61.195,127.050003,7150.580078,8723.786133,591,149.490005,33.459999,55.380001
3/20/20,85.505997,27.481194,28.200001,57.310001,119.889999,6879.52002,8929.038086,574.400024,138.410004,30.610001,54.700001
3/23/20,86.858002,26.988598,26.57,56.092499,111.139999,6860.669922,8942.808594,606.400024,134.970001,29.309999,53.09
3/24/20,101,28.13483,25.82,61.720001,119.18,7417.859863,8706.245117,601.799988,153.600006,32.32,54.349998
3/25/20,107.849998,28.182196,27.129999,61.380001,119.400002,7384.299805,8657.642578,627,155.130005,32.700001,53.639999
3/26/20,105.632004,30.076797,27.940001,64.610001,126.57,7797.540039,8745.894531,670.799988,165.789993,34.459999,58.310001
