Date,Open,High,Low,Close,Adj Close,Volume
2019-09-03,201.100006,201.610001,196.580002,198.970001,189.868164,2633970
2019-09-04,201.490005,202.100006,200.050003,201.729996,192.501892,1736967
2019-09-05,205.270004,208.929993,205.039993,207.050003,197.578537,2237906
2019-09-06,207.059998,208.250000,205.570007,207.210007,197.731232,1439087
2019-09-09,209.220001,213.880005,208.440002,211.979996,202.283035,2734609
2019-09-10,213.500000,217.089996,213.220001,215.630005,205.766022,2616235
2019-09-11,215.210007,216.850006,213.360001,216.800003,206.882538,1886291
2019-09-12,216.380005,220.759995,215.149994,218.740005,208.733765,2913786
2019-09-13,220.350006,221.500000,219.198807,219.899994,209.840698,2722411
2019-09-16,217.820007,219.330002,216.320007,217.220001,207.283310,2205543
2019-09-17,215.800003,216.139999,212.539993,215.910004,206.033279,2467394
2019-09-18,214.830002,217.889999,213.300003,217.080002,207.149719,2492485
2019-09-19,217.580002,217.929993,215.059998,215.229996,205.384338,1611076
2019-09-20,214.660004,216.679993,213.630005,213.740005,203.962540,5490118
2019-09-23,212.850006,214.110001,211.559998,213.460007,203.695313,1565762
2019-09-24,214.039993,214.199997,206.800003,207.750000,198.246506,2885686
2019-09-25,207.960007,211.089996,207.449997,210.029999,200.422226,1609841
2019-09-26,209.050003,209.970001,208.110001,208.220001,198.695023,1692716
2019-09-27,209.850006,210.550003,208.089996,208.970001,199.410690,1531374
2019-09-30,209.710007,209.710007,206.830002,207.229996,197.750320,1798010
2019-10-01,207.009995,209.380005,202.610001,202.690002,193.417999,3171507
2019-10-02,201.690002,201.880005,197.600006,198.250000,189.181107,3395299
2019-10-03,197.610001,198.369995,193.990005,197.240005,188.217316,2923698
2019-10-04,196.990005,201.225998,196.039993,200.800003,191.614426,3028781
2019-10-07,200.789993,202.529999,199.470001,200.399994,191.232758,2210318
2019-10-08,197.600006,198.949997,195.919998,197.369995,188.341339,2674425
2019-10-09,198.190002,198.979996,196.679993,196.850006,187.845139,2457007
2019-10-10,197.589996,201.320007,197.539993,199.869995,190.726974,2114131
2019-10-11,203.720001,207.289993,203.720001,204.679993,195.316940,3342623
2019-10-14,203.830002,206.164993,202.919998,205.820007,196.404800,2303649
2019-10-15,202.000000,208.240005,198.610001,206.460007,197.015518,8303263
2019-10-16,206.169998,208.619995,206.100006,207.419998,197.931625,3447187
2019-10-17,208.289993,208.929993,204.389999,206.460007,197.015518,2893459
2019-10-18,204.990005,208.059998,204.990005,206.520004,197.072769,2207607
2019-10-21,208.669998,210.860001,207.679993,209.250000,199.677902,1958379
2019-10-22,209.589996,211.649994,208.309998,209.600006,200.011917,1885431
2019-10-23,209.220001,212.019302,209.000000,211.320007,201.653198,1583225
2019-10-24,211.610001,213.145004,209.774994,211.050003,201.395554,1273179
2019-10-25,210.179993,215.419998,210.179993,214.229996,204.430084,2602050
2019-10-28,216.320007,218.919998,215.690002,217.750000,207.789078,2707775
2019-10-29,217.220001,219.279999,216.449997,217.639999,207.684097,2030786
2019-10-30,217.020004,217.050003,213.809998,215.809998,205.937805,1584888
2019-10-31,215.149994,215.362503,211.320007,213.380005,203.618973,1876214
2019-11-01,215.259995,217.889999,214.750000,217.389999,207.445526,2112310
2019-11-04,219.699997,220.690002,218.570007,219.869995,209.812073,2538122
2019-11-05,220.800003,221.779999,218.470001,218.639999,208.638367,2525109
2019-11-06,218.009995,219.070007,216.550003,218.419998,208.428421,1863038
2019-11-07,220.770004,224.770004,220.410004,223.289993,213.075607,3748660
2019-11-08,223.000000,223.229996,221.100006,222.910004,212.713028,1610873
2019-11-11,220.899994,221.410004,218.520004,219.029999,209.010513,2755038
2019-11-12,218.559998,221.110001,217.926407,220.410004,210.327393,1891598
2019-11-13,218.389999,219.839996,217.009995,219.320007,209.287277,1769133
2019-11-14,218.789993,220.470001,218.030106,219.429993,209.392197,1483216
2019-11-15,220.000000,221.089996,219.039993,220.250000,210.174683,1693160
2019-11-18,219.729996,219.949997,218.039993,219.729996,209.678497,1603539
2019-11-19,220.559998,220.679993,218.309998,220.039993,209.974289,1817120
2019-11-20,218.360001,219.470901,216.399994,217.910004,207.941757,2177738
2019-11-21,218.600006,219.320007,216.820007,218.229996,208.247147,1677745
2019-11-22,218.000000,220.710007,218.000000,220.279999,210.203323,1529121
2019-11-25,220.889999,223.949997,220.889999,222.750000,212.560333,2181836
2019-11-26,222.679993,222.759995,221.113007,222.449997,212.274048,1926961
2019-11-27,223.449997,224.279999,221.860001,222.949997,212.751190,1615085
2019-11-29,220.880005,222.000000,220.410004,221.350006,212.415344,770438
2019-12-02,220.970001,221.800003,217.080002,217.639999,208.855072,2119133
2019-12-03,215.429993,215.429993,210.000000,212.240005,203.673050,3279762
2019-12-04,213.539993,216.990005,212.380005,215.940002,207.223694,1583647
