Date,Open,High,Low,Close,Adj Close,Volume,Return
9/3/19,16.1,16.5,14.35,14.88,14.88,2508895,0.34
9/4/19,15.11,15.59,14.8,15.42,15.42,1555729,0.54
9/5/19,15.65,16.129999,15.02,15.53,15.53,1394529,0.11
9/6/19,15.56,16.18,15.14,15.88,15.88,2042503,0.35
9/9/19,15.98,16.23,15.36,16.030001,16.030001,2311752,0.150001
9/10/19,16.059999,17.34,15.97,17.09,17.09,3077421,1.059999
9/11/19,17.34,17.59,15.89,15.92,15.92,3590692,-1.17
9/12/19,16.23,18.459999,16.200001,16.4,16.4,8290874,0.48
9/13/19,16.450001,17.040001,16.059999,16.709999,16.709999,3162383,0.309999
9/16/19,16.73,17.309999,16.690001,17.049999,17.049999,3053899,0.34
9/17/19,17.459999,17.950001,17.190001,17.66,17.66,5239640,0.610001
9/18/19,17.77,18,17.35,17.780001,17.780001,5834569,0.120001
9/19/19,17.709999,18.42,17.617001,17.9,17.9,5866926,0.119999
9/20/19,18.139999,18.389999,17.75,18.07,18.07,25237508,0.17
9/23/19,18.24,18.48,17.559999,17.83,17.83,4861272,-0.24
9/24/19,17.83,17.99,17.25,17.82,17.82,5213302,-0.01
9/25/19,17.709999,17.709999,17.1,17.18,17.18,3045069,-0.64
9/26/19,17.41,17.51,16.144699,16.34,16.34,4449091,-0.84
9/27/19,16.290001,16.540001,15.675,15.9,15.9,2309047,-0.44
9/30/19,15.79,16.27,15.67,15.92,15.92,1532173,0.02
10/1/19,15.87,16.059999,14.8,14.81,14.81,1544925,-1.11
10/2/19,14.78,15.01,14.42,14.86,14.86,1783307,0.05
10/3/19,15.24,15.24,14.41,15.07,15.07,1464168,0.21
10/4/19,15.05,15.57,14.89,15.51,15.51,1022019,0.44
10/7/19,15.45,15.63,15.07,15.47,15.47,1373936,-0.04
10/8/19,15.36,15.48,15.01,15.31,15.31,1226190,-0.16
10/9/19,15.33,15.55,14.18,14.2,14.2,2386365,-1.11
10/10/19,14.13,14.41,13.87,14.16,14.16,1345771,-0.04
10/11/19,14.24,14.7,13.99,14.055,14.055,941288,-0.105
10/14/19,14.19,14.27,13.67,13.93,13.93,960535,-0.125
10/15/19,13.93,14.45,13.53,14.33,14.33,1157446,0.4
10/16/19,14.27,14.32,14.02,14.15,14.15,915084,-0.18
10/17/19,14.23,14.72,14.15,14.54,14.54,1033914,0.39
10/18/19,14.5,14.85,14.07,14.81,14.81,1596568,0.27
10/21/19,14.9,15.59,14.66,15.5,15.5,931443,0.69
10/22/19,15.56,16.09,15.55,15.92,15.92,594156,0.42
10/23/19,16.16,17.01,16.09,16.9,16.9,1512239,0.98
10/24/19,16.92,17.030001,16.049999,16.59,16.59,1112146,-0.31
10/25/19,16.73,17.1,16.430099,17.01,17.01,737109,0.42
10/28/19,17.01,17.15,16.809401,17.030001,17.030001,652386,0.020001
10/29/19,16.959999,17.155001,16.66,16.99,16.99,751727,-0.040001
10/30/19,16.950001,17.24,16.52,17.139999,17.139999,961150,0.149999
10/31/19,17.030001,17.15,16.49,16.75,16.75,1015552,-0.389999
11/1/19,16.799999,16.893999,15.52,15.66,15.66,1603732,-1.09
11/4/19,15.9,16.799999,15.83,16.799999,16.799999,1357932,1.139999
11/5/19,16.940001,17.719999,16.709999,16.889999,16.889999,1742360,0.09
11/6/19,16.83,17.49,16.049999,16.129999,16.129999,1575549,-0.76
11/7/19,16.33,17.6084,16.2801,17.5,17.5,2043611,1.370001
11/8/19,17.25,17.5,17.110001,17.49,17.49,973669,-0.01
11/11/19,17.33,17.52,17.200001,17.4,17.4,949933,-0.09
11/12/19,17.34,18.1,17.3025,17.99,17.99,1978343,0.59
11/13/19,18,18.5,17.709999,18.25,18.25,2014902,0.26
11/14/19,18.16,18.5,17.91,18.34,18.34,1532586,0.09
11/15/19,18.389999,19.43,18.35,19.370001,19.370001,1882089,1.030001
11/18/19,19.209999,19.450001,18.67,19.450001,19.450001,923140,0.08
11/19/19,19.27,19.870001,19.082399,19.360001,19.360001,1144750,-0.09
11/20/19,19.379999,20.4,19.35,20.18,20.18,2316542,0.819999
11/21/19,19.98,20.32,19.690001,20.200001,20.200001,1202497,0.020001
11/22/19,20.07,20.73,19.860001,20.690001,20.690001,1443557,0.49
11/25/19,20.9,21,19.950001,20,20,1927782,-0.690001
11/26/19,20,20.65,19.82,20.33,20.33,1549446,0.33
11/27/19,20.280001,20.700001,19.99,20.370001,20.370001,1561222,0.040001
11/29/19,20.6,20.93,20.280001,20.360001,20.360001,1186734,-0.01
12/2/19,20.299999,20.540001,19.6,19.76,19.76,1186785,-0.600001
12/3/19,19.48,21.370001,19.41,21.280001,21.280001,1795347,1.520001
12/4/19,21,21.469999,20.932501,21.27,21.27,1980055,-0.010001
12/5/19,21.49,21.5,20.57,20.639999,20.639999,1478421,-0.630001
12/6/19,20.780001,21.040001,18.82,18.940001,18.940001,3537657,-1.699998
12/9/19,19.07,19.299999,18.67,18.780001,18.780001,2823956,-0.16
12/10/19,18.780001,19.09,18.58,18.870001,18.870001,1619895,0.09
12/11/19,19.030001,19.110001,18.530001,18.65,18.65,1233120,-0.220001
12/12/19,18.559999,19.045,18.32,18.450001,18.450001,1313402,-0.199999
12/13/19,18.469999,18.719999,18.32,18.620001,18.620001,1302439,0.17
12/16/19,18.6,18.969999,18.219999,18.52,18.52,1785541,-0.100001
12/17/19,18.540001,18.700001,18.309999,18.440001,18.440001,1647786,-0.079999
12/18/19,18.48,19,18.48,18.639999,18.639999,1277655,0.199998
12/19/19,18.58,19.67,18.5,19.41,19.41,2101681,0.770001
12/20/19,19.4,20,19.049999,19.83,19.83,10931559,0.42
12/23/19,19.790001,19.85,19.34,19.700001,19.700001,1789840,-0.129999
12/24/19,19.690001,19.790001,19.35,19.75,19.75,488921,0.049999
12/26/19,19.82,20.110001,19.66,19.860001,19.860001,750317,0.110001
12/27/19,19.99,20,19.25,19.52,19.52,1046852,-0.340001
12/30/19,19.540001,19.940001,18.940001,19.049999,19.049999,1183298,-0.470001
12/31/19,18.959999,19.639999,18.959999,19.559999,19.559999,1112406,0.51
1/2/20,19.57,19.809999,18.879999,19.23,19.23,1229434,-0.329999
1/3/20,19.02,19.360001,18.719999,18.889999,18.889999,1750976,-0.340001
1/6/20,18.700001,18.74,18.01,18.129999,18.129999,1606505,-0.76
1/7/20,18.15,18.32,17.68,17.780001,17.780001,1457773,-0.349998
1/8/20,17.99,18.08,17.76,17.98,17.98,1041551,0.199999
1/9/20,18,18.549999,17.9,18.4,18.4,1531344,0.42
1/10/20,21,21,19.049999,19.139999,19.139999,4504819,0.739999
1/13/20,19.26,20.360001,18.6,20.26,20.26,2207943,1.120001
1/14/20,20.450001,20.4979,19.549999,20,20,1782859,-0.26
1/15/20,19.940001,20.58,19.940001,20.24,20.24,2054963,0.24
1/16/20,21.68,21.870001,20.77,21.01,21.01,4928102,0.77
1/17/20,21.5,21.5,20.549999,20.620001,20.620001,3348525,-0.389999
1/21/20,20.790001,21.49,20.645,20.940001,20.940001,2089578,0.32
1/22/20,22.08,23.200001,21.700001,21.969999,21.969999,10920657,1.029998
1/23/20,22.17,22.65,21.4,21.469999,21.469999,3663943,-0.5
1/24/20,21.6,21.879299,20.9,21.120001,21.120001,2947764,-0.349998
1/27/20,22.1,23.120001,21.120001,22.74,22.74,10294739,1.619999
1/28/20,23.5,23.5,21.8501,22.360001,22.360001,5649269,-0.379999
1/29/20,22.23,22.34,20.450001,20.549999,20.549999,4675832,-1.810002
1/30/20,21.049999,21.74,20.799999,20.99,20.99,3061810,0.440001
1/31/20,21.139999,21.32,20.049999,20.51,20.51,2833631,-0.48
2/3/20,20.66,21.059999,19.700001,20.379999,20.379999,3214618,-0.130001
2/4/20,20.09,20.879999,19.75,20.870001,20.870001,1824436,0.490002
2/5/20,20.99,21.200001,19.67,20.049999,20.049999,2656824,-0.820002
2/6/20,20.27,20.32,19.700001,19.879999,19.879999,1929739,-0.17
