Date,Open,High,Low,Close,Adj Close,Volume,Return
9/3/19,224.080002,228.949997,223.160004,225.009995,225.009995,5360546,3.21123
9/4/19,226.889999,228.460007,219.205002,220.679993,220.679993,5768696,-4.330002
9/5/19,222.5,229.800003,220.850006,229.580002,229.580002,7403322,8.900009
9/6/19,227.199997,229.639999,225.169998,227.449997,227.449997,4189372,-2.130005
9/9/19,230,233.759995,229.229996,231.789993,231.789993,4802669,4.339996
9/10/19,230.800003,235.539993,228.940002,235.539993,235.539993,4883714,3.75
9/11/19,237.380005,248.174103,236,247.100006,247.100006,10042777,11.560013
9/12/19,247.699997,253.5,244.399994,245.869995,245.869995,8581210,-1.230011
9/13/19,246.960007,248.449997,244.865005,245.199997,245.199997,5313145,-0.669998
9/16/19,246,247.429993,241.169998,242.809998,242.809998,4728096,-2.389999
9/17/19,242.470001,245.600006,240.369995,244.789993,244.789993,3946909,1.979995
9/18/19,245,248.168503,242.369995,243.490005,243.490005,4228103,-1.299988
9/19/19,246,247.940002,244.839996,246.600006,246.600006,4883135,3.110001
9/20/19,246.490005,246.945999,238.160004,240.619995,240.619995,6506264,-5.980011
9/23/19,240,245.179398,239.220001,241.229996,241.229996,4391630,0.610001
9/24/19,241.520004,241.990005,222.610001,223.210007,223.210007,12941112,-18.019989
9/25/19,224.559998,228.979996,218.360001,228.699997,228.699997,9444286,5.48999
9/26/19,230.660004,243.309998,227.399994,242.559998,242.559998,12078785,13.860001
9/27/19,242.199997,248.710007,238.729996,242.130005,242.130005,11123179,-0.429993
9/30/19,243,243.979996,236.111099,240.869995,240.869995,5946161,-1.26001
10/1/19,241.5,245.949997,239.130005,244.690002,244.690002,6196290,3.820007
10/2/19,243.289993,244.649994,239.429993,243.130005,243.130005,6256548,-1.559997
10/3/19,231.860001,234.479996,224.279999,233.029999,233.029999,15137763,-10.100006
10/4/19,231.610001,234.779999,228.070007,231.429993,231.429993,8021180,-1.600006
10/7/19,229.800003,238.559998,228.550003,237.720001,237.720001,8086957,6.290008
10/8/19,235.869995,243.940002,234.5,240.050003,240.050003,8702338,2.330002
10/9/19,241.320007,247.294998,240.649994,244.529999,244.529999,6935033,4.479996
10/10/19,245.279999,249.279999,241.580002,244.740005,244.740005,6313417,0.210006
10/11/19,247.149994,251.080002,246.809998,247.889999,247.889999,8488159,3.149994
10/14/19,247.899994,258.549988,247.130005,256.959991,256.959991,10226863,9.069992
10/15/19,257.700012,260,254.119995,257.890015,257.890015,6479456,0.930024
10/16/19,257.390015,262.100006,256.920013,259.75,259.75,6704303,1.859985
10/17/19,262.5,264.779999,260.170013,261.970001,261.970001,4779043,2.220001
10/18/19,260.700012,262.799988,255.100006,256.950012,256.950012,5753666,-5.019989
10/21/19,258.329987,259.5,250.179993,253.5,253.5,5108101,-3.450012
10/22/19,254.320007,258.329987,250.850006,255.580002,255.580002,4625095,2.080002
10/23/19,254.5,256.140015,251.350006,254.679993,254.679993,11216182,-0.900009
10/24/19,298.369995,304.929993,289.200012,299.679993,299.679993,29819231,45
10/25/19,297.720001,330,296.109985,328.130005,328.130005,30006091,28.450012
10/28/19,327.540009,340.839996,322.600006,327.709991,327.709991,18870286,-0.420014
10/29/19,319.98999,324.299988,314.75,316.220001,316.220001,12684267,-11.48999
10/30/19,313,318.790009,309.970001,315.01001,315.01001,9641810,-1.209991
10/31/19,313.100006,319,313,314.920013,314.920013,5066956,-0.089997
11/1/19,316.320007,316.480011,309.799988,313.309998,313.309998,6383929,-1.610015
11/4/19,314.799988,321.940002,309.26001,317.470001,317.470001,8787040,4.160003
11/5/19,319.619995,323.51001,316.118011,317.220001,317.220001,6943417,-0.25
11/6/19,318,326.720001,314.5,326.579987,326.579987,7940932,9.359986
11/7/19,329.140015,341.5,328.019989,335.540009,335.540009,14467348,8.960022
11/8/19,334.5,337.459991,332.5,337.140015,337.140015,6074221,1.600006
11/11/19,343.950012,349.190002,342,345.089996,345.089996,9993689,7.949981
11/12/19,346.899994,350.369995,344.040009,349.929993,349.929993,7359383,4.839997
11/13/19,355,356.329987,345.179993,346.109985,346.109985,8467863,-3.820008
11/14/19,346.109985,353.839996,342.910004,349.350006,349.350006,6471703,3.240021
11/15/19,350.640015,352.799988,348.359985,352.170013,352.170013,4812563,2.820007
11/18/19,352.916504,353.149994,346.100006,349.98999,349.98999,4408505,-2.180023
11/19/19,351.75,359.98999,347.799988,359.519989,359.519989,7736078,9.529999
11/20/19,360,361.200012,349.570007,352.220001,352.220001,6733965,-7.299988
11/21/19,354.51001,360.839996,354.003906,354.829987,354.829987,6110013,2.609986
11/22/19,340.160004,341,330,333.040009,333.040009,16870642,-21.789978
11/25/19,344.320007,344.570007,334.459991,336.339996,336.339996,12345765,3.299987
11/26/19,335.269989,335.5,327.100006,328.920013,328.920013,7956239,-7.419983
11/27/19,331.119995,333.929993,328.570007,331.290009,331.290009,5563459,2.369996
11/29/19,331.109985,331.26001,327.5,329.940002,329.940002,2465629,-1.350007
12/2/19,329.399994,336.38269,328.687012,334.869995,334.869995,6081986,4.929993
12/3/19,332.619995,337.910004,332.186005,336.200012,336.200012,6613476,1.330017
12/4/19,337.75,337.859985,332.850006,333.029999,333.029999,5536255,-3.170013
12/5/19,332.829987,334.422699,327.25,330.369995,330.369995,3736976,-2.660004
12/6/19,335,338.859985,334.769989,335.890015,335.890015,7618937,5.52002
12/9/19,336.589996,344.450012,335.079987,339.529999,339.529999,9040217,3.639984
12/10/19,339.959991,350.730011,339.309998,348.839996,348.839996,8839951,9.309997
12/11/19,351.876495,357.189911,351.089996,352.700012,352.700012,6919162,3.860016
12/12/19,354.920013,362.73999,353.230011,359.679993,359.679993,7776211,6.979981
12/13/19,361.049988,365.209991,354.640015,358.390015,358.390015,6574281,-1.289978
12/16/19,362.549988,383.609985,362.5,381.5,381.5,18220940,23.109985
12/17/19,378.98999,385.5,375.899994,378.98999,378.98999,8503775,-2.51001
12/18/19,380.630005,395.220001,380.579987,393.149994,393.149994,14136392,14.160004
12/19/19,397.320007,406.850006,396.5,404.040009,404.040009,18120307,10.890015
12/20/19,410.290009,413,400.184998,405.589996,405.589996,14785206,1.549987
12/23/19,411.779999,422.01001,410,419.220001,419.220001,13332821,13.630005
12/24/19,418.359985,425.470001,412.6875,425.25,425.25,8054720,6.029999
12/26/19,427.910004,433.480011,426.350006,430.940002,430.940002,10648289,5.690002
12/27/19,435,435.309998,426.109985,430.380005,430.380005,9956827,-0.559997
12/30/19,428.790009,429,409.258911,414.700012,414.700012,12601265,-15.679993
12/31/19,405.000305,421.290009,402.079987,418.329987,418.329987,10292456,3.629975
1/2/20,424.5,430.695709,421.709991,430.26001,430.26001,9558386,11.930023
1/3/20,440.5,454,436.920013,443.01001,443.01001,17794697,12.75
